"","longitude","latitude","k3","k4","k5","k6"
"22","95.347833","27.491929","1","1","1","1"
"62","86.49618","20.973302","2","2","2","2"
"101","83.882024","19.764927","1","1","1","1"
"154","83.649123","19.768279","1","1","3","3"
"170","74.478958","34.297023","3","3","4","4"
"171","74.478958","34.297023","3","3","4","4"
"172","74.478958","34.297023","1","1","3","3"
"223","83.97279","23.834855","3","3","4","4"
"240","93.936633","24.815115","1","1","1","1"
"241","91.807459","26.189634","1","1","1","5"
"374","93.7","24.35","3","3","4","4"
"495","83.808662","24.173149","1","1","3","3"
"506","90.616793","25.495444","3","3","4","4"
"525","81.428585","17.838008","3","3","4","4"
"576","90.086914","25.497013","3","4","5","6"
"581","93.617664","24.855126","3","4","5","6"
"588","93.937832","24.769186","1","1","1","1"
"638","93.986769","24.328989","3","3","4","4"
"657","90.61682","25.49546","2","2","2","2"
"666","94.496743","25.311849","3","4","5","6"
"726","84.816828","23.846121","1","1","3","3"
"840","80.770576","18.588779","3","3","4","4"
"861","81.41186","18.183122","1","1","3","3"
"872","90.61682","25.49546","2","2","2","2"
"878","85.39837","22.37955","3","3","4","4"
"891","82.694242","19.028722","1","1","1","5"
"892","81.942155","18.33892","3","3","4","4"
"1022","86.306667","24.177863","3","4","5","6"
"1068","90.677305","25.755953","3","3","4","4"
"1121","90.677305","25.755953","3","4","5","6"
"1130","84.504429","23.744186","1","1","3","3"
"1143","90.563989","25.32656","1","1","3","3"
"1183","90.531203","25.61684","3","3","4","4"
"1198","75.297579","12.134717","1","1","1","1"
"1230","91.735509","26.147043","1","1","1","1"
"1231","90.225271","25.564932","3","3","4","4"
"1311","90.945418","25.853894","3","3","4","4"
"1329","93.967437","24.780654","1","1","1","1"
"1336","82.5333","20.8167","2","2","2","2"
"1337","84.0333","22.1167","3","4","5","6"
"1338","90.406702","25.848178","3","4","5","6"
"1344","93.916458","24.817544","1","1","1","1"
"1366","93.916458","24.817544","1","1","1","1"
"1382","84.870937","24.204235","1","1","1","5"
"1518","82.734714","18.856056","2","2","2","2"
"1559","84.291076","23.91925","1","1","3","3"
"1667","83.567061","21.177289","3","4","5","6"
"1690","81.892418","18.364195","1","1","1","5"
"1738","84.6833","23.4333","3","4","5","6"
"1742","81.892418","18.364195","1","1","1","5"
"1758","75.090141","33.797161","1","1","3","3"
"1759","86.220238","24.92326","1","1","1","5"
"1760","86.220238","24.92326","1","1","1","5"
"1761","86.220238","24.92326","2","2","2","2"
"1807","82.712333","18.813487","3","4","5","6"
"1809","82.237957","18.486587","3","3","4","4"
"1810","82.810186","20.498551","2","2","2","2"
"1818","92.375192","23.214156","3","4","5","6"
"1839","82.222788","18.5435","3","3","4","4"
"1848","94.740042","27.126875","1","1","3","3"
"1850","80.006844","20.181843","1","1","3","3"
"1870","91.784924","25.501786","3","4","5","6"
"1876","93.916458","24.817544","1","1","1","5"
"1911","90.789321","25.815389","3","4","5","6"
"1922","95.557388","27.568432","1","1","3","3"
"2029","89.869963","25.376892","1","1","3","3"
