"","longitude","latitude","k3","k4","k5","k6"
"3","69.186465","28.636116","1","1","1","1"
"40","71.544814","34.004345","1","1","1","1"
"116","67.018009","30.209423","2","2","2","2"
"117","66.999967","24.916689","2","2","2","2"
"126","71.477429","34.565494","1","1","1","1"
"234","71.383411","34.000016","1","1","1","1"
"265","65.095779","28.490733","1","1","1","1"
"271","62.720616","26.367809","2","2","3","3"
"335","70.90953","31.823676","3","3","4","4"
"412","71.55552","34.217183","2","2","2","2"
"433","71.39393","30.18376","2","2","2","2"
"438","72.121717","34.000659","3","3","4","4"
"584","66.515608","30.104113","2","2","2","2"
"586","67.018009","30.209423","2","2","2","2"
"597","69.186547","28.635636","2","2","2","2"
"621","69.186547","28.635636","1","1","1","1"
"701","67.033375","24.933254","2","2","2","2"
"704","67.018388","30.209078","2","2","2","2"
"706","71.558325","33.794627","2","2","2","2"
"707","71.46633","33.96125","1","1","1","5"
"716","67.4232","30.05798","2","2","3","3"
"717","67.4232","30.05798","2","2","3","3"
"725","67.4232","30.05798","2","2","2","2"
"738","70.336254","33.700174","2","2","2","2"
"739","70.749556","32.407113","2","2","3","3"
"757","71.468525","33.971417","1","1","1","5"
"758","67.028061","24.893379","2","2","2","2"
"767","69.859741","32.667476","1","1","1","5"
"812","70.336254","33.700174","2","2","3","3"
"935","68.216667","28.55","1","1","1","5"
"949","63.014758","26.156056","2","2","2","2"
"954","65.095779","28.490733","2","2","2","2"
"964","71.383333","34","1","1","1","5"
"973","71.477429","34.565494","2","2","2","2"
"978","71.874921","35.19766","3","3","4","4"
"994","70.100833","33.899167","3","3","4","4"
"1010","69.15","29.033333","1","1","1","5"
"1018","69.859741","32.667476","1","1","1","5"
"1019","69.859741","32.667476","2","2","2","2"
"1107","71.551622","33.968178","1","1","1","5"
"1134","71.54483","34.004299","3","3","4","4"
"1153","68.274306","25.416868","1","1","1","5"
"1160","69.55201","28.019567","1","1","1","5"
"1161","68.323494","25.378033","1","1","1","5"
"1162","68.403381","26.239479","1","1","1","5"
"1163","68.936897","26.04418","1","1","1","5"
"1164","68.119278","26.841","1","1","1","5"
"1165","68.743559","27.527306","1","1","1","5"
"1166","69.316667","28.016667","1","1","1","5"
"1167","67.339071","24.84477","1","1","1","5"
"1168","67.339071","24.84477","1","1","1","5"
"1169","68.848587","27.6908","1","1","1","5"
"1170","68.403381","26.239479","1","1","1","5"
"1192","69.093531","29.140415","1","1","1","1"
"1200","71.999817","34.006649","1","1","1","5"
"1232","73.625473","35.450276","2","2","2","2"
"1280","71.5448","34.004274","2","2","2","2"
"1305","70.676944","33.8125","3","3","4","4"
"1306","70.676944","33.8125","2","2","2","2"
"1327","69.095774","29.142918","1","1","1","1"
"1330","71.735939","34.150928","3","3","4","4"
"1365","70.9095","31.823759","3","3","4","4"
"1436","70.914772","32.601768","2","2","2","2"
"1474","69.813889","32.964722","2","2","3","3"
"1487","70.961944","33.747778","3","3","4","4"
"1503","70.775759","33.640689","2","2","2","2"
"1513","71.516667","34.483333","1","1","1","1"
"1514","71.561111","33.923611","3","3","4","4"
"1566","70.117119","32.335121","1","1","1","1"
"1567","70.117119","32.335121","1","1","1","1"
"1579","71.623948","34.920942","1","1","1","1"
"1594","71.5448","34.004274","3","3","4","4"
"1635","69.83","32.568611","2","2","2","2"
"1643","69.149945","29.033559","2","2","2","2"
"1777","70.775759","33.640689","2","2","3","3"
"1778","70.847724","33.825361","3","3","4","4"
"1779","68.208122","27.55788","1","1","1","1"
"1780","69.700613","31.830625","2","2","2","2"
"1869","66.849889","29.800158","2","2","2","2"
"1873","67.018137","30.209304","2","2","2","2"
"1936","69.095774","29.142918","1","1","1","1"
"1949","71.480221","34.567793","2","2","2","2"
"2035","67.195278","24.893056","3","3","4","4"
"2106","67.018137","30.209304","2","2","2","2"
"2206","67.018137","30.209304","2","2","2","2"
"2211","67.018137","30.209304","2","2","2","2"
